"module name","license","repository"
"@ai-sdk/anthropic@1.2.12","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/azure@1.3.25","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/cerebras@0.2.16","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/deepseek@0.2.16","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/google@1.2.22","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/groq@1.2.9","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/mistral@1.2.8","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/openai-compatible@0.2.16","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/openai@1.3.24","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/perplexity@1.1.9","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider-utils@2.2.8","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider@1.1.3","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/react@1.2.12","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/togetherai@0.2.16","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/ui-utils@1.2.11","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/xai@1.2.18","Apache-2.0","https://github.com/vercel/ai"
"@anthropic-ai/sdk@0.39.0","MIT","https://github.com/anthropics/anthropic-sdk-typescript"
"@anthropic-ai/sdk@0.92.0","MIT","https://github.com/anthropics/anthropic-sdk-typescript"
"@babel/runtime@7.29.2","MIT","https://github.com/babel/babel"
"@browserbasehq/sdk@2.10.0","Apache*","https://github.com/browserbase/sdk-node"
"@browserbasehq/stagehand@2.5.8","MIT","https://github.com/browserbase/stagehand"
"@google/genai@1.49.0","Apache-2.0","https://github.com/googleapis/js-genai"
"@hono/node-server@1.19.13","MIT","https://github.com/honojs/node-server"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-darwin-arm64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-libvips-darwin-arm64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@modelcontextprotocol/sdk@1.29.0","MIT","https://github.com/modelcontextprotocol/typescript-sdk"
"@opentelemetry/api@1.9.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@pinojs/redact@0.4.0","MIT","https://github.com/pinojs/redact"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/codegen@2.0.5","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.1","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.1","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@types/diff-match-patch@1.0.36","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-fetch@2.6.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@18.19.130","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.19.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/retry@0.12.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
"agent-base@7.1.4","MIT","https://github.com/TooTallNate/proxy-agents"
"agentkeepalive@4.6.0","MIT","https://github.com/node-modules/agentkeepalive"
"ai@4.3.19","Apache-2.0","https://github.com/vercel/ai"
"ajv-formats@3.0.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv@8.20.0","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@6.2.2","MIT","https://github.com/chalk/ansi-regex"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atomic-sleep@1.0.0","MIT","https://github.com/davidmarkclements/atomic-sleep"
"axe-core@4.11.4","MPL-2.0","https://github.com/dequelabs/axe-core"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"better-sqlite3@12.9.0","MIT","https://github.com/WiseLibs/better-sqlite3"
"bignumber.js@9.3.1","MIT","https://github.com/MikeMcl/bignumber.js"
"bindings@1.5.0","MIT","https://github.com/TooTallNate/node-bindings"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"body-parser@2.2.2","MIT","https://github.com/expressjs/body-parser"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"chalk@5.6.2","MIT","https://github.com/chalk/chalk"
"chownr@1.1.4","ISC","https://github.com/isaacs/chownr"
"cli-cursor@5.0.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners@3.4.0","MIT","https://github.com/sindresorhus/cli-spinners"
"colorette@2.0.20","MIT","https://github.com/jorgebucaran/colorette"
